pair,pmi1,pmi2,pmi_diff,abs_diff
敏→表,2.8002466145557214,2.7848389923245023,-0.015407622231219165,0.015407622231219165
资→通,-1.8646064469830452,1.4989367831375846,3.36354323012063,3.36354323012063
待→消,1.5296783741379543,2.6222274131536967,1.0925490390157424,1.0925490390157424
对→手,3.7825872219974666,3.1205345165494895,-0.662052705447977,0.662052705447977
场→三,-2.605742959240056,-2.6211400672413028,-0.015397108001246718,0.015397108001246718
相→转,-0.8244819853844777,0.9392020570177968,1.7636840424022746,1.7636840424022746
位→而,-1.5117797957803596,0.48244006252239374,1.9942198583027533,1.9942198583027533
区→签,2.661127600260002,1.0292491601401987,-1.6318784401198034,1.6318784401198034
间→提,0.5134811466101528,-0.5971531996641894,-1.1106343462743422,1.1106343462743422
藏→危,7.625794527147721,2.5641795382125094,-5.061614988935212,5.061614988935212
天→线,-1.05087090944976,0.6350514535112807,1.6859223629610405,1.6859223629610405
扎→比,4.032813913563679,3.250700858090103,-0.7821130554735758,0.7821130554735758
降→碳,6.505508755009315,7.223487309195446,0.7179785541861303,0.7179785541861303
对→符,2.076985798740595,4.592174391989656,2.5151885932490607,2.5151885932490607
免→大,-1.2387059409069623,-0.7303987693682391,0.5083071715387232,0.5083071715387232
华→侨,8.792681857678751,1.9021155722385823,-6.890566285440169,6.890566285440169
整→产,-1.6651371699267172,3.3981762401430244,5.063313410069742,5.063313410069742
作→关,1.0634479095423952,-1.5849780810368057,-2.648425990579201,2.648425990579201
个→至,-2.759028777164488,-0.10617643447152188,2.652852342692966,2.652852342692966
地→执,2.3580055856207425,0.3706677164525815,-1.987337869168161,1.987337869168161
至→台,0.506186103074709,-0.8570580374780321,-1.3632441405527411,1.3632441405527411
动→策,-0.8092290079758485,-2.9962491550740116,-2.187020147098163,2.187020147098163
系→转,4.71687882269027,0.1363793807124068,-4.580499441977863,4.580499441977863
但→保,-0.6669496154306299,1.1223007493259034,1.7892503647565334,1.7892503647565334
问→印,2.581640812889037,-0.9276873865057733,-3.5093281993948104,3.5093281993948104
者→国,-2.968204613207289,-5.8035456495015705,-2.8353410362942815,2.8353410362942815
头→戏,5.418085982499613,5.656324251801822,0.23823826930220893,0.23823826930220893
名→大,0.2332339496063588,1.025351118435814,0.7921171688294552,0.7921171688294552
找→新,2.6136164801351596,-0.6696408827874716,-3.2832573629226314,3.2832573629226314
美→乌,4.284795881653941,3.1636277923278673,-1.1211680893260736,1.1211680893260736
身→手,0.2218141868433813,2.1933026397072606,1.9714884528638792,1.9714884528638792
观→事,3.3931731531299807,-5.386643701570237,-8.779816854700218,8.779816854700218
究→方,0.7997079166840991,-2.802360936364219,-3.602068853048318,3.602068853048318
愿→参,2.878684375575972,4.38978106019089,1.5110966846149179,1.5110966846149179
滞→后,6.860682920556333,8.950878670004254,2.090195749447921,2.090195749447921
其→个,-0.2877401519643166,-1.0707317958805809,-0.7829916439162643,0.7829916439162643
命→运,5.861678514387259,7.20869690288189,1.3470183884946305,1.3470183884946305
硅→谷,10.975727780854504,13.291755386291117,2.316027605436613,2.316027605436613
念→币,7.577847715114022,11.226787182827863,3.6489394677138405,3.6489394677138405
成→业,-4.320384711865654,-3.0178664425064583,1.302518269359196,1.302518269359196
水→产,1.561525688787959,0.22466447101533674,-1.3368612177726222,1.3368612177726222
织→制,1.373101352162601,2.0820089952801744,0.7089076431175734,0.7089076431175734
动→方,0.7968595543750687,-1.7906140509056123,-2.587473605280681,2.587473605280681
华→北,4.867586666692642,0.6377141728790159,-4.229872493813626,4.229872493813626
息→显,3.8422268671453366,0.9562472476892622,-2.8859796194560743,2.8859796194560743
区→供,1.314009596911338,-0.3300150860201363,-1.6440246829314742,1.6440246829314742
再→投,0.18829972040530268,3.6980530360058004,3.5097533156004976,3.5097533156004976
调→性,-0.3061517165301274,0.6380448366826097,0.9441965532127371,0.9441965532127371
为→开,-3.1377511452696107,0.45656418866342763,3.5943153339330385,3.5943153339330385
立→面,0.6070338214560881,1.2483902382550898,0.6413564167990017,0.6413564167990017
响→交,-0.7128209710119562,1.6154858352746415,2.328306806286598,2.328306806286598
季→临,1.4574373318158953,3.448689065174827,1.991251733358932,1.991251733358932
外→联,0.3432441762143783,-3.492507257342305,-3.835751433556683,3.835751433556683
生→风,-2.102189121603485,-2.666846438873841,-0.5646573172703557,0.5646573172703557
内→外,4.245556615616047,2.5366710878030427,-1.708885527813004,1.708885527813004
易→价,1.3426427930853286,1.9545475191560264,0.6119047260706978,0.6119047260706978
示→无,-0.49434641538362795,0.1133899427861624,0.6077363581697903,0.6077363581697903
视→历,1.8320998518632134,-2.071987788868219,-3.904087640731433,3.904087640731433
宇→表,2.049274162395636,1.9517363010692463,-0.09753786132638975,0.09753786132638975
三→阴,8.406881579625002,5.031505762266552,-3.3753758173584503,3.3753758173584503
盘→内,1.555707691665858,3.0266695541055926,1.4709618624397345,1.4709618624397345
术→盛,2.504845993468279,0.5806706733698925,-1.9241753200983867,1.9241753200983867
线→将,0.6997362523509373,2.0709332065829686,1.3711969542320315,1.3711969542320315
项→保,-1.4093169709132947,0.9925328743555738,2.4018498452688686,2.4018498452688686
对→本,0.8309619957657488,-0.7256904064022942,-1.556652402168043,1.556652402168043
起→床,4.181052856317153,7.438008738158129,3.256955881840976,3.256955881840976
年→互,-1.5993537059754521,-1.4522607679005872,0.1470929380748649,0.1470929380748649
企→主,-2.367545794484553,-0.17910509741670408,2.188440697067849,2.188440697067849
地→养,1.8685780609651619,0.2060959495044759,-1.662482111460686,1.662482111460686
苏→北,3.5454211106837015,-1.196311950363202,-4.7417330610469035,4.7417330610469035
浓→郁,14.302456862005688,11.079836296184176,-3.2226205658215115,3.2226205658215115
起→审,1.6839337045739515,3.7936594036030464,2.109725699029095,2.109725699029095
短→几,2.3407245710390328,7.449444829836699,5.108720258797666,5.108720258797666
据→主,0.8646685915588088,-1.0147053377031285,-1.8793739292619374,1.8793739292619374
度→显,1.2569525595837865,0.6725685319394447,-0.5843840276443418,0.5843840276443418
酬→可,3.4072445078816784,4.061841393927449,0.6545968860457707,0.6545968860457707
辅→导,8.026274284717132,10.074904359394184,2.0486300746770514,2.0486300746770514
四→国,-1.5857691096829005,-3.8364102834071967,-2.250641173724296,2.250641173724296
名→信,-0.25644062480082963,-0.7756704646721149,-0.5192298398712852,0.5192298398712852
期→情,-1.892129522063911,0.726496613131673,2.618626135195584,2.618626135195584
鹏→来,1.3824155231811794,3.0547925707482153,1.6723770475670359,1.6723770475670359
券→业,2.376571995738051,4.155186015267657,1.778614019529606,1.778614019529606
决→通,0.17635387269672417,1.9656601716294182,1.789306298932694,1.789306298932694
市→环,-1.401402113049975,3.0588072912418705,4.460209404291845,4.460209404291845
与→业,-0.9059108754347263,-2.0611556700602094,-1.1552447946254831,1.1552447946254831
为→构,-0.8193187357813322,1.1226331357933654,1.9419518715746977,1.9419518715746977
弹→性,7.032256966998452,5.71351408193836,-1.3187428850600922,1.3187428850600922
定→纳,1.8597154819900965,2.7897754712709135,0.930059989280817,0.930059989280817
经→准,0.12328122473667437,-1.284839331330242,-1.4081205560669163,1.4081205560669163
即→手,0.9495168596806194,-0.578192232993776,-1.5277090926743955,1.5277090926743955
来→合,-3.944738681412981,-2.8889894023122475,1.0557492791007332,1.0557492791007332
物→学,0.42406701900033833,-0.32479965034345565,-0.748866669343794,0.748866669343794
性→技,-0.38799815606878313,-0.2922352085154533,0.09576294755332981,0.09576294755332981
球→时,0.18833999221409878,-1.271851208750028,-1.4601912009641267,1.4601912009641267
白→鹿,9.99502833681344,4.619747862128801,-5.37528047468464,5.37528047468464
骨→骼,14.980528767118326,13.473139503108493,-1.5073892640098325,1.5073892640098325
场→验,-1.0830327369719597,-2.6413675827842034,-1.5583348458122437,1.5583348458122437
质→早,1.6201096179328782,1.4475197362913454,-0.17258988164153277,0.17258988164153277
蕴→含,11.657158698057057,11.709229871015793,0.05207117295873687,0.05207117295873687
如→接,-1.1447555395669815,-1.1314225927988983,0.013332946768083165,0.013332946768083165
赖→外,4.51135910787994,3.7522529770225974,-0.7591061308573428,0.7591061308573428
外→长,-0.20974008082724493,1.7368777511356814,1.9466178319629264,1.9466178319629264
个→出,-3.631585538359913,0.5017472146929453,4.1333327530528585,4.1333327530528585
名→家,-0.8158262446321063,1.367369519382055,2.1831957640141613,2.1831957640141613
等→连,0.44217551592869236,1.0560365051019807,0.6138609891732882,0.6138609891732882
时→确,-1.1527109973310559,-0.902328368723553,0.2503826286075028,0.2503826286075028
喘→息,8.95394999699061,8.515518105379044,-0.43843189161156637,0.43843189161156637
局→部,3.1525946553326407,2.126936175202089,-1.0256584801305517,1.0256584801305517
用→事,2.063999364793568,-3.6752874259906423,-5.7392867907842104,5.7392867907842104
惨→重,7.0000464115800645,6.559820593053965,-0.4402258185260992,0.4402258185260992
来→单,-0.2974861183191418,-0.2215833723247394,0.07590274599440239,0.07590274599440239
跑→道,2.2895923012782404,5.628758335393651,3.3391660341154106,3.3391660341154106
座→大,-0.4667805083869561,0.2248629158664766,0.6916434242534327,0.6916434242534327
总→代,1.041165807988722,-3.0551201306675386,-4.09628593865626,4.09628593865626
量→智,-0.45794635678654194,-1.3934318724451271,-0.9354855156585852,0.9354855156585852
